순번,사업장명,인허가일자,영업상태명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,위생업태명,업데이트
453,순이포차,2020-06-10,영업/정상,055 6342879,경상남도 거제시 아주동 1678-19 1층,"경상남도 거제시 아주1로2길 80, 1층 (아주동)",53308,한식,한식
454,생각보다맛있는집,2020-06-11,영업/정상,055 6823898,경상남도 거제시 아주동 735-1,"경상남도 거제시 거제대로 3539, 1층 (아주동)",53300,한식,한식
455,서피버거,2020-06-11,영업/정상,,경상남도 거제시 장목면 대금리 267-4,"경상남도 거제시 장목면 옥포대첩로 1288, 1층",53202,기타,기타
456,참치도,2020-06-12,영업/정상,055 950 7290,경상남도 거제시 고현동 961-96,"경상남도 거제시 거제중앙로25길 16, 1층 (고현동)",53253,일식,일식
457,오닭꼬치 거제아주점,2020-06-15,영업/정상,055 682 2272,경상남도 거제시 아주동 1693-2,"경상남도 거제시 아주1로1길 58-2, 1층 (아주동)",53305,호프/통닭,호프/통닭
458,샹뜨레 몽돌 베이커리,2020-06-15,영업/정상,,경상남도 거제시 아주동 1688-11,"경상남도 거제시 아주1로 38-1, 1층 (아주동)",53305,기타,기타
459,바람휴게소,2020-06-15,영업/정상,,경상남도 거제시 남부면 갈곶리 288-1,"경상남도 거제시 남부면 도장포1길 58, 주1동 1층",53334,분식,분식
460,더퍼스트(THE FIRST),2020-06-15,영업/정상,,경상남도 거제시 아주동 1692-4 2층,"경상남도 거제시 아주1로2길 7, 2층 (아주동)",53305,정종/대포집/소주방,정종/대포집/소주방
461,부스러기돈가스&소바,2020-06-17,영업/정상,50714841216,경상남도 거제시 옥포동 847-2,"경상남도 거제시 옥포로20길 49, 1층 (옥포동)",53221,경양식,경양식
462,담아,2020-06-22,영업/정상,055 6352339,경상남도 거제시 장평동 13-1 대한아파트 106동 110호,"경상남도 거제시 장평로6길 25, 대한아파트 106동 1층 110호 (장평동)",53266,한식,한식
463,댄싱컵 거제장평점,2020-06-23,영업/정상,055 6362378,경상남도 거제시 장평동 368-24,"경상남도 거제시 장평로8길 28, 1층 (장평동)",53265,기타,기타
464,착한밥상,2020-06-25,영업/정상,055 6354194,경상남도 거제시 고현동 37-6 1층,"경상남도 거제시 고현로 110-1, 1층 (고현동)",53255,한식,한식
465,미쓰족발 거제아주점,2020-06-26,영업/정상,055 6823696,경상남도 거제시 아주동 695 103호,"경상남도 거제시 용소1길 15, 1층 103호 (아주동)",53300,한식,한식
466,꼬숩두부 본점,2020-06-26,영업/정상,070 82871861,경상남도 거제시 수월동 1126-3,"경상남도 거제시 수양로 447-10, 1층 (수월동)",53237,한식,한식
467,내일도포차,2020-06-29,영업/정상,50714621393,경상남도 거제시 장평동 753-3 거제 장평 코아루 아파트,"경상남도 거제시 장평3로3길 25, 401동 지하1층 B03호 (장평동, 거제 장평 코아루 아파트)",53269,정종/대포집/소주방,정종/대포집/소주방
468,거제 영양센터,2020-06-30,영업/정상,055 635 7660,경상남도 거제시 장평동 380-29,"경상남도 거제시 장평로10길 25, 1층 (장평동)",53265,한식,한식
469,라퀴진노엘,2020-06-30,영업/정상,055 687 3964,경상남도 거제시 옥포동 554-21,"경상남도 거제시 옥포로5길 4, 2층 (옥포동)",53233,경양식,경양식
470,프리지아,2020-07-01,영업/정상,055 687 2088,경상남도 거제시 옥포동 394,"경상남도 거제시 옥포성안로 43, 2층 (옥포동)",53229,경양식,경양식
471,(주)거제저도유람선해피킹호,2020-07-01,영업/정상,055 636 7033,경상남도 거제시 장목면 송진포리 121-11,경상남도 거제시 장목면 거제북로 2633-15,53200,경양식,경양식
472,희다방,2020-07-02,영업/정상,055 682 2577,경상남도 거제시 일운면 지세포리 922-3,"경상남도 거제시 일운면 지세포4길 3, 1층",53328,정종/대포집/소주방,정종/대포집/소주방
473,스콜피온(scorpion),2020-07-02,영업/정상,,경상남도 거제시 장평동 321-9,"경상남도 거제시 장평로8길 27, 2층 (장평동)",53265,정종/대포집/소주방,정종/대포집/소주방
474,순희네뒷고기,2020-07-02,영업/정상,50714052569,경상남도 거제시 옥포동 552-1,"경상남도 거제시 옥포로 163, 1층 (옥포동)",53233,식육(숯불구이),식육(숯불구이)
475,거제카페포뷰,2020-07-03,영업/정상,055 682 1044,경상남도 거제시 장승포동 172-2,"경상남도 거제시 장승포로 115, 2~3층 (장승포동)",53319,기타,기타
476,진성토스트,2020-07-06,영업/정상,,경상남도 거제시 일운면 구조라리 80,"경상남도 거제시 일운면 구조라로 36, 1층",53329,분식,분식
477,마라달인(거제장승포점),2020-07-06,영업/정상,055 682 4751,경상남도 거제시 장승포동 537-16,"경상남도 거제시 장승로 99, 1층 (장승포동)",53322,중국식,중국식
478,(주)에이치투엠 쿠마키친 디큐브거제점,2020-07-09,영업/정상,,경상남도 거제시 장평동 1211 디큐브백화점,"경상남도 거제시 장평로 12, 6층 19일부~22호 (장평동)",53267,경양식,경양식
479,아래땀숯불고기,2020-07-09,영업/정상,055 632 8884,경상남도 거제시 문동동 643,"경상남도 거제시 문동1길 45-2, 1층 (문동동)",53298,식육(숯불구이),식육(숯불구이)
480,푸드갤러리,2020-07-10,영업/정상,055 634 3356,경상남도 거제시 장평동 1212-2 거제 장평 유림노르웨이숲,"경상남도 거제시 장평1로 7, 상가동 1층 116호 (장평동, 거제 장평 유림노르웨이숲)",53267,한식,한식
481,피엠에이엠(pm:am),2020-07-10,영업/정상,,경상남도 거제시 고현동 961-14,"경상남도 거제시 거제중앙로27길 10, 1층 (고현동)",53253,정종/대포집/소주방,정종/대포집/소주방
482,다대리끝집,2020-07-13,영업/정상,,경상남도 거제시 남부면 다대리 457-1,"경상남도 거제시 남부면 다대5길 61-1, 1층",53334,한식,한식
483,면밥천국,2020-07-14,영업/정상,055 633 7235,경상남도 거제시 고현동 139-2 대보BD 1,"경상남도 거제시 거제중앙로13길 14, 대보B/D 1층 101호 (고현동)",53256,한식,한식
484,섬,2020-07-15,영업/정상,070 88449999,경상남도 거제시 아주동 1692-1,"경상남도 거제시 아주1로2길 15, 1층 (아주동)",53305,일식,일식
485,동큐치킨,2020-07-15,영업/정상,50713989930,경상남도 거제시 장목면 장목리 240-53,"경상남도 거제시 장목면 장목6길 27, 1층",53201,호프/통닭,호프/통닭
486,내도모해,2020-07-22,영업/정상,,경상남도 거제시 일운면 와현리 11-2,"경상남도 거제시 일운면 내도길 3-6, C동 1층",53329,기타,기타
487,배말칼국수김밥 거제면점,2020-07-22,영업/정상,055 634 1470,경상남도 거제시 거제면 남동리 29-401 배말칼국수김밥 거제점,"경상남도 거제시 거제면 거제남서로 3404, 2동 1층",53286,분식,분식
488,대교김밥,2020-07-23,영업/정상,055 637 4681,경상남도 거제시 사등면 덕호리 110-64,"경상남도 거제시 사등면 거제남서로 5334, 1층",53274,김밥(도시락),김밥(도시락)
489,자이언트당구카페,2020-07-24,영업/정상,,경상남도 거제시 장평동 635-1,"경상남도 거제시 장평1로 156, 2층 (장평동)",53262,기타,기타
490,국수의품격,2020-07-24,영업/정상,,경상남도 거제시 아주동 1673-6,"경상남도 거제시 아주2로 91, 1층 (아주동)",53308,한식,한식
491,퍼스트플로어4,2020-07-28,영업/정상,055 6381308,경상남도 거제시 동부면 학동리 218-3 거제도 온천 호텔,"경상남도 거제시 동부면 학동7길 2, 거제도 온천 호텔 1층",53332,경양식,경양식
492,하이오커피(HIO COFFEE) 거제경남아너스빌점,2020-07-28,영업/정상,055 636 7445,경상남도 거제시 사등면 사곡리 918 경남 아너스빌,"경상남도 거제시 사등면 두동로 30, 상가동 지하2층 106호 (경남 아너스빌)",53278,기타,기타
493,교촌치킨 수양점,2020-07-29,영업/정상,055 632 1992,경상남도 거제시 수월동 1120-14,"경상남도 거제시 수양로 456-10, 1층 (수월동)",53237,호프/통닭,호프/통닭
494,무궁화 해물찜 전문점,2020-07-29,영업/정상,055 632 8007,경상남도 거제시 장목면 장목리 305-7,"경상남도 거제시 장목면 거제북로 1189, 1층",53201,한식,한식
495,시방리(Sibang-Li),2020-07-31,영업/정상,50713429239,경상남도 거제시 장목면 시방리 608-2,"경상남도 거제시 장목면 옥포대첩로 1216, 1~2층",53202,경양식,경양식
496,당당뭉티기,2020-08-11,영업/정상,,경상남도 거제시 아주동 1694-20,"경상남도 거제시 아주1로3길 66, 1층 (아주동)",53305,기타,기타
497,올능이 능이버섯백숙,2020-08-13,영업/정상,055 681 5283,경상남도 거제시 아주동 1686-9,"경상남도 거제시 아주1로 58, 1층 (아주동)",53305,탕류(보신용),탕류(보신용)
498,양지암,2020-08-18,영업/정상,,경상남도 거제시 능포동 480-7 이룸하우스,"경상남도 거제시 능포로15길 3, 2층 201호 (능포동, 이룸하우스)",53312,경양식,경양식
499,복골촌,2020-08-19,영업/정상,055 6373370,경상남도 거제시 삼거동 402,"경상남도 거제시 삼거6길 4-1, 1층 (삼거동)",53299,한식,한식
500,천지양꼬치,2020-08-19,영업/정상,055 635 8866,경상남도 거제시 상동동 219-1,"경상남도 거제시 상동5길 16-1, 2동 1층 201~202호 (상동동)",53294,식육(숯불구이),식육(숯불구이)
501,아라치(옥포아주점),2020-08-20,영업/정상,055 682 4242,경상남도 거제시 옥포동 507-7,"경상남도 거제시 옥포중앙로 81-1, 주1동 1층 (옥포동)",53220,호프/통닭,호프/통닭
502,차여사국수,2020-08-20,영업/정상,,경상남도 거제시 고현동 988-4,"경상남도 거제시 중곡로7길 17, 1층 (고현동)",53245,분식,분식
503,타파스앤,2020-08-21,영업/정상,055 633 0094,경상남도 거제시 고현동 1014 거제해수탕,"경상남도 거제시 중곡로3길 11, 거제해수탕 1층 (고현동)",53249,"외국음식전문점(인도,태국등)","외국음식전문점(인도,태국등)"
504,카페수국,2020-08-28,영업/정상,055 637 2797,경상남도 거제시 둔덕면 상둔리 182-1,"경상남도 거제시 둔덕면 상둔5길 4, 1~2층",53280,경양식,경양식
505,화해만족,2020-08-28,영업/정상,055 632 8988,경상남도 거제시 장목면 송진포리 42,"경상남도 거제시 장목면 간곡길 2, 1층",53200,한식,한식
506,노랑통닭(수월점),2020-09-02,영업/정상,055 950 8686,경상남도 거제시 수월동 1045-4,"경상남도 거제시 해명로 25, 1층 (수월동)",53239,호프/통닭,호프/통닭
507,남일카페,2020-09-10,영업/정상,,경상남도 거제시 장승포동 221-13,"경상남도 거제시 장승포로 61, 2층 (장승포동)",53319,기타,기타
508,BBQ 장평점,2020-09-14,영업/정상,055 637 3205,경상남도 거제시 장평동 1195-27,"경상남도 거제시 장평1로 33, 1동 1층 (장평동)",53267,호프/통닭,호프/통닭
509,저구명품찹쌀꽈배기,2020-09-15,영업/정상,055 633 7747,경상남도 거제시 남부면 저구리 89-1,"경상남도 거제시 남부면 저구해안길 37, 1층",53333,분식,분식
510,와현짬뽕,2020-09-17,영업/정상,055 6872196,경상남도 거제시 일운면 와현리 381-4,"경상남도 거제시 일운면 와현해변길 8, 2층",53329,중국식,중국식
511,김순희굴국밥&영양솥밥,2020-09-18,영업/정상,055 637 9076,경상남도 거제시 장평동 1195-30,"경상남도 거제시 장평1로7길 34, 1층 (장평동)",53267,한식,한식
512,구르만,2020-09-18,영업/정상,,경상남도 거제시 옥포동 547-2,"경상남도 거제시 옥포대첩로2길 35, 1층 (옥포동)",53228,한식,한식
513,온키친,2020-09-23,영업/정상,,경상남도 거제시 아주동 1702-4,"경상남도 거제시 아주1로3길 17, 1층 (아주동)",53305,호프/통닭,호프/통닭
514,공사판,2020-09-28,영업/정상,055 635 5599,경상남도 거제시 고현동 961-90,"경상남도 거제시 거제중앙로24길 5, 1층 (고현동)",53251,정종/대포집/소주방,정종/대포집/소주방
515,고기왕창왕비빔밥(고현점),2020-09-29,영업/정상,055 636 8285,경상남도 거제시 고현동 179-6,"경상남도 거제시 거제중앙로11길 2, 1층 (고현동)",53258,한식,한식
516,약돌정 문경약돌돼지,2020-09-29,영업/정상,055 682 3399,경상남도 거제시 아주동 1692-10,"경상남도 거제시 아주1로 18, 1층 (아주동)",53305,식육(숯불구이),식육(숯불구이)
517,데일리밀,2020-10-05,영업/정상,070 75760810,경상남도 거제시 고현동 988-29,"경상남도 거제시 중곡로5길 7-1, 1층 (고현동)",53245,경양식,경양식
518,한잔해포차,2020-10-07,영업/정상,,경상남도 거제시 장평동 346-118,"경상남도 거제시 장평1로12길 22, 1층 (장평동)",53263,정종/대포집/소주방,정종/대포집/소주방
519,파라다이스(Paradise),2020-10-07,영업/정상,,경상남도 거제시 옥포동 549-3,"경상남도 거제시 옥포로 171, 1층 (옥포동)",53233,정종/대포집/소주방,정종/대포집/소주방
520,감성키친 거제고현점,2020-10-08,영업/정상,,경상남도 거제시 고현동 1069-24,"경상남도 거제시 중곡로2길 68, 1층 (고현동)",53248,한식,한식
521,리더스식당,2020-10-08,영업/정상,055 632 2086,경상남도 거제시 고현동 545-1,"경상남도 거제시 계룡로11길 17-35, 리더스골프클럽 주2동 1층 (고현동)",53257,한식,한식
522,고요이,2020-10-12,영업/정상,055 6383350,경상남도 거제시 고현동 1012-7,"경상남도 거제시 중곡로1길 20-2, 1층 (고현동)",53249,정종/대포집/소주방,정종/대포집/소주방
523,다시초록섬,2020-10-12,영업/정상,055 634 2630,경상남도 거제시 장목면 대금리 26-3,"경상남도 거제시 장목면 옥포대첩로 1272, 3층",53202,기타,기타
524,뚱삼이와 대삼이,2020-10-13,영업/정상,055 635 2552,경상남도 거제시 상동동 216-1,"경상남도 거제시 상동5길 12, 1층 (상동동)",53294,식육(숯불구이),식육(숯불구이)
525,푸라닭 거제옥포점,2020-10-14,영업/정상,055 688 9206,경상남도 거제시 옥포동 580-1,"경상남도 거제시 옥포성안로 58, 1층 (옥포동)",53231,호프/통닭,호프/통닭
526,청년피자 거제아주점,2020-10-20,영업/정상,055 682 7585,경상남도 거제시 아주동 1694-20,"경상남도 거제시 아주1로3길 66, 1층 (아주동)",53305,경양식,경양식
527,경파스시,2020-10-20,영업/정상,,경상남도 거제시 옥포동 868-3,"경상남도 거제시 국산7길 17-1, 1층 (옥포동)",53220,일식,일식
528,신천동할매떡볶이,2020-10-23,영업/정상,,경상남도 거제시 능포동 690-3 백산상가,"경상남도 거제시 옥수로2길 18-1, 백산상가 2층 208호 (능포동)",53316,분식,분식
529,컨츄리꼬꼬,2020-10-29,영업/정상,055 638 5592,경상남도 거제시 장평동 56-3,"경상남도 거제시 장평3로4길 39, 1층 (장평동)",53268,호프/통닭,호프/통닭
530,필립(fillip),2020-10-30,영업/정상,50713315917,경상남도 거제시 거제면 옥산리 1512,"경상남도 거제시 거제면 두동로 259-91, 거제오션 파크자이  상가동 1층 113호",53284,기타,기타
531,비비큐(BBQ) 장목점,2020-11-02,영업/정상,055 6364479,경상남도 거제시 장목면 장목리 325-29,"경상남도 거제시 장목면 거제북로 1214, 1층",53201,호프/통닭,호프/통닭
532,라 카페테리아(LA CAFETERIA),2020-11-02,영업/정상,,경상남도 거제시 옥포동 554-8 CJ아쿠아빌,"경상남도 거제시 옥포성안로 22, 1층 104호 (옥포동, CJ아쿠아빌)",53233,"외국음식전문점(인도,태국등)","외국음식전문점(인도,태국등)"
533,작은부엌,2020-11-02,영업/정상,50714667278,경상남도 거제시 아주동 1011 대동다숲아파트1단지,"경상남도 거제시 아주2로4길 10-1, 대동다숲아파트1단지 상가동 1층 104호 (아주동)",53306,한식,한식
534,장미카페,2020-11-03,영업/정상,50713087372,경상남도 거제시 능포동 357-9,"경상남도 거제시 장승포해안로 301, 옥명마을장미카페1 1~2층 (능포동)",53314,경양식,경양식
535,몽테,2020-11-06,영업/정상,,경상남도 거제시 덕포동 92-1,"경상남도 거제시 옥포대첩로 429-1, 1층 (덕포동)",53213,경양식,경양식
536,남포육해공무한,2020-11-06,영업/정상,,경상남도 거제시 장평동 1202-6,"경상남도 거제시 장평1로5길 10, 1층 (장평동)",53267,횟집,횟집
537,오늘도한우 장평점,2020-11-09,영업/정상,055 633 2366,경상남도 거제시 장평동 1195-6,"경상남도 거제시 장평로4길 16, 주1동 1층 101호 (장평동)",53267,식육(숯불구이),식육(숯불구이)
538,카페(cafe)남파랑길,2020-11-09,영업/정상,,경상남도 거제시 사등면 성포리 343-3,"경상남도 거제시 사등면 성포로3길 18, 1층 101호 (성포아파트)",53276,한식,한식
539,바다가조아 파스타공방,2020-11-12,영업/정상,055 633 8208,경상남도 거제시 사등면 창호리 2638,"경상남도 거제시 사등면 가조서로2길 10, 주1동 2층",53273,경양식,경양식
540,가마솥옛날시골통닭 거제고현점,2020-11-12,영업/정상,055 638 0347,경상남도 거제시 고현동 98-28,"경상남도 거제시 고현로8길 3-1, 2동 1층 (고현동)",53254,호프/통닭,호프/통닭
541,가조회식당,2020-11-13,영업/정상,055 633 7307,경상남도 거제시 사등면 성포리 350-13,"경상남도 거제시 사등면 성포로3길 14, 1층",53276,횟집,횟집
542,천하장사생선구이 본점,2020-11-17,영업/정상,055 632 5358,경상남도 거제시 수월동 134-4,"경상남도 거제시 수양1길 63, 1층 (수월동)",53240,한식,한식
543,고바우통닭 거제면점,2020-11-17,영업/정상,055 633 8080,경상남도 거제시 거제면 서상리 375-1,"경상남도 거제시 거제면 읍내로 62, 1층",53286,호프/통닭,호프/통닭
544,순홍식당,2020-11-19,영업/정상,,경상남도 거제시 거제면 서정리 774-6,"경상남도 거제시 거제면 읍내로13길 42, 1층",53285,한식,한식
545,한잔하개,2020-11-19,영업/정상,070 86100865,경상남도 거제시 장승포동 697-4,"경상남도 거제시 장승포로 36, 1층 (장승포동)",53320,정종/대포집/소주방,정종/대포집/소주방
546,돈덩어리,2020-11-19,영업/정상,,경상남도 거제시 장승포동 695-2,"경상남도 거제시 장승포로 16, 1층 일부호 (장승포동)",53320,식육(숯불구이),식육(숯불구이)
547,경양카츠,2020-11-20,영업/정상,055 633 4114,경상남도 거제시 상동동 219-1,"경상남도 거제시 상동5길 16-1, 1동 1층 102호 (상동동)",53294,경양식,경양식
548,고기집우산,2020-11-20,영업/정상,055 687 9599,경상남도 거제시 옥포동 553-1 103호,"경상남도 거제시 옥포로 155, 1층 103호 (옥포동)",53233,식육(숯불구이),식육(숯불구이)
549,맛집마루,2020-11-20,영업/정상,055 633 1516,경상남도 거제시 거제면 서상리 375-1,"경상남도 거제시 거제면 읍내로 62, 1층",53286,한식,한식
550,푸짐한식당,2020-11-24,영업/정상,,경상남도 거제시 사등면 덕호리 139-10,"경상남도 거제시 사등면 거제남서로 5350, 1층",53274,한식,한식
551,스캔들,2020-11-30,영업/정상,,경상남도 거제시 옥포동 598-2,"경상남도 거제시 옥포로6길 29-1, 1층 (옥포동)",53231,기타,기타
552,팟타이랜드(Pad Thailand),2020-12-01,영업/정상,,경상남도 거제시 고현동 41-8 중앙빌딩,"경상남도 거제시 고현로 117, 중앙빌딩 A동 1층 104~105호 (고현동)",53251,"외국음식전문점(인도,태국등)","외국음식전문점(인도,태국등)"
553,지코바숯불치킨 아주점,2020-12-02,영업/정상,055 682 3362,경상남도 거제시 아주동 1658-10 늘새롬빌,"경상남도 거제시 용소3길 1, 1층 101호 (아주동, 늘새롬빌)",53300,호프/통닭,호프/통닭
554,카페 진,2020-12-02,영업/정상,,경상남도 거제시 거제면 동상리 613-5,"경상남도 거제시 거제면 읍내로 28, 1층",53286,정종/대포집/소주방,정종/대포집/소주방
555,롤링파스타 거제고현점,2020-12-03,영업/정상,055 637 1661,경상남도 거제시 고현동 971-8,"경상남도 거제시 거제중앙로 1931, 2층 (고현동)",53252,경양식,경양식
556,한가네추어탕,2020-12-04,영업/정상,055 636 6672,경상남도 거제시 연초면 죽토리 769-1,"경상남도 거제시 연초면 죽토로 23, 1층",53212,한식,한식
557,죠스.바르다듀얼매장,2020-12-04,영업/정상,055 638 1995,경상남도 거제시 장평동 733 해금강사우나,"경상남도 거제시 장평1로 161, 해금강사우나 다동 1층 (장평동)",53264,분식,분식
558,피자나라 치킨공주·거제고현점,2020-12-04,영업/정상,055 638 4260,경상남도 거제시 고현동 756-14,"경상남도 거제시 고현로4길 4, 1층 (고현동)",53254,호프/통닭,호프/통닭
559,고쿠텐 거제점,2020-12-07,영업/정상,055 736 5006,경상남도 거제시 고현동 521-2,"경상남도 거제시 계룡로 116, 1층 (고현동)",53256,경양식,경양식
560,핸즈커피,2020-12-08,영업/정상,070 77573456,경상남도 거제시 고현동 971-5,"경상남도 거제시 거제중앙로31길 5, 1층 (고현동)",53252,경양식,경양식
561,라운지코코,2020-12-08,영업/정상,,경상남도 거제시 고현동 961-55 삼덕빌딩,"경상남도 거제시 고현로11길 24, 삼덕빌딩 2층 201호 (고현동)",53251,호프/통닭,호프/통닭
562,둘리당구카페,2020-12-11,영업/정상,,경상남도 거제시 장평동 377-10,"경상남도 거제시 장평로8길 8, 2층 (장평동)",53265,한식,한식
563,오별난멸치국수 홈플러스거제점,2020-12-17,영업/정상,055 638 5877,경상남도 거제시 장평동 1211 디큐브백화점,"경상남도 거제시 장평로 12, 지하1층 (장평동)",53267,분식,분식
564,욜로(YOLO) 성포로,2020-12-18,영업/정상,50713791883,경상남도 거제시 사등면 성포리 373-1,"경상남도 거제시 사등면 성포로 110, 해광빌라 1층 102호",53276,정종/대포집/소주방,정종/대포집/소주방
565,비비큐 거제고현점,2020-12-28,영업/정상,055 637 1003,경상남도 거제시 고현동 200-3 PC119거제점,"경상남도 거제시 동문천로 41, 1층 (고현동)",53256,호프/통닭,호프/통닭
566,꽃섬거제,2020-12-30,영업/정상,055 688 0074,경상남도 거제시 옥포동 772-2,"경상남도 거제시 옥포대첩로 98-1, 1층 (옥포동)",53230,경양식,경양식
567,고냉삼,2020-12-30,영업/정상,055 636 8055,경상남도 거제시 상동동 185-2,"경상남도 거제시 상동5길 11, 1층 (상동동)",53294,식육(숯불구이),식육(숯불구이)
568,전투찌개,2021-01-04,영업/정상,,경상남도 거제시 고현동 120-4 천우상가아파트,"경상남도 거제시 고현로8길 27, 1층 113호 (고현동, 천우상가아파트)",53254,한식,한식
569,유자집,2021-01-07,영업/정상,,경상남도 거제시 아주동 1700-13,"경상남도 거제시 아주1로 5, 1층 (아주동)",53305,식육(숯불구이),식육(숯불구이)
570,경자네가마솥국밥,2021-01-15,영업/정상,055 682 0884,경상남도 거제시 두모동 368-5,"경상남도 거제시 두모길 3-4, 1층 (두모동)",53317,한식,한식
571,참다랑어 막주는집,2021-01-15,영업/정상,055 637 7747,경상남도 거제시 고현동 1014-6,경상남도 거제시 중곡로3길 9 (고현동),53249,횟집,횟집
572,바름만두,2021-01-18,영업/정상,055 6337400,경상남도 거제시 상동동 54-9 벽산 e-솔렌스힐 3차,"경상남도 거제시 상동5길 117-50, 501동 지하2층 B203(일부)호 (상동동, 벽산 e-솔렌스힐 3차)",53295,분식,분식
573,푼푼 김밥.제육,2021-01-19,영업/정상,055 6341311,경상남도 거제시 수월동 1086,경상남도 거제시 해명로 49 (수월동),53239,분식,분식
574,달꽃다방,2021-01-22,영업/정상,,경상남도 거제시 고현동 189-2,"경상남도 거제시 동문천로 38-2, 1층 (고현동)",53258,한식,한식
575,솔미식당,2021-01-26,영업/정상,50713841783,경상남도 거제시 고현동 37-35 창조아파트,"경상남도 거제시 거제중앙로20길 9, 122~127,145호 (고현동, 창조아파트)",53255,정종/대포집/소주방,정종/대포집/소주방
576,비에이치씨(BHC) 거제수월점,2021-01-27,영업/정상,055 6369992,경상남도 거제시 수월동 1120-19,"경상남도 거제시 수양로 454-3, 1층 101호 (수월동)",53237,호프/통닭,호프/통닭
577,패스트리디오션뷰,2021-01-28,영업/정상,,경상남도 거제시 장평동 1211 디큐브백화점,"경상남도 거제시 장평로 12, 홈플러스 거제점 지하1층 (장평동)",53267,한식,한식
578,거제갈치도,2021-01-28,영업/정상,055 6330141,경상남도 거제시 상동동 474-20,"경상남도 거제시 거제중앙로5길 17, 1층 (상동동)",53287,한식,한식
579,김가네밀면,2021-01-29,영업/정상,055 6376534,경상남도 거제시 거제면 남동리 29-256,"경상남도 거제시 거제면 거제남서로 3400, 1층",53286,한식,한식
580,하루,2021-02-01,영업/정상,,경상남도 거제시 고현동 1015-4 고려상가 104호,"경상남도 거제시 중곡로 11, 고려상가 1층 104호 (고현동)",53249,일식,일식
581,요달의찜닭,2021-02-02,영업/정상,055 6327776,경상남도 거제시 고현동 1017-9,"경상남도 거제시 중곡로1길 21, 1층 (고현동)",53249,한식,한식
582,동춘돌곱창 거제아주점,2021-02-02,영업/정상,055 6823358,경상남도 거제시 아주동 1690-5,"경상남도 거제시 아주1로2길 19, 115호 (아주동)",53305,식육(숯불구이),식육(숯불구이)
583,화화 거제수월점,2021-02-04,영업/정상,055 6324954,경상남도 거제시 수월동 1044-19,"경상남도 거제시 해명로 19-2, 1층 (수월동)",53239,식육(숯불구이),식육(숯불구이)
584,술밤,2021-02-04,영업/정상,,경상남도 거제시 옥포동 545-26,"경상남도 거제시 옥포대첩로2길 25, 1층 (옥포동)",53228,정종/대포집/소주방,정종/대포집/소주방
585,수성참숯불,2021-02-17,영업/정상,50713771742,경상남도 거제시 고현동 1004-9,"경상남도 거제시 중곡로3길 42-1, 1층 (고현동)",53249,한식,한식
586,주은하우스,2021-02-18,영업/정상,,경상남도 거제시 고현동 1010-18 부영보쌈,"경상남도 거제시 중곡로1길 28-2, 1층 (고현동)",53249,정종/대포집/소주방,정종/대포집/소주방
587,다올푸드,2021-02-18,영업/정상,055 6874999,경상남도 거제시 옥포동 870-8,"경상남도 거제시 국산3길 26-1, 1층 (옥포동)",53220,한식,한식
588,가보자 포차,2021-02-19,영업/정상,,경상남도 거제시 일운면 지세포리 936-1,"경상남도 거제시 일운면 지세포로 98, 2층",53328,정종/대포집/소주방,정종/대포집/소주방
589,빅스타피자 아주옥포점,2021-02-22,영업/정상,055 6877448,경상남도 거제시 옥포동 984-6,"경상남도 거제시 옥포로26길 15, 1층 (옥포동)",53219,기타,기타
590,읍내짬뽕,2021-02-23,영업/정상,055 6325123,경상남도 거제시 고현동 988-5,"경상남도 거제시 중곡로7길 15, 1층 (고현동)",53245,중국식,중국식
591,처갓집양념치킨(흥남점),2021-02-23,영업/정상,055 7360562,경상남도 거제시 장목면 시방리 294-1,"경상남도 거제시 장목면 흥남길 52, 1층",53202,기타,기타
592,연사랑마당넓은집,2021-02-23,영업/정상,055 6365382,경상남도 거제시 연초면 연사리 567 주1동~주3동,"경상남도 거제시 연초면 연사1길 134, 연사랑 마당넓은집 주1동~주3동 1층",53209,한식,한식
593,베리굿(berry good),2021-02-25,영업/정상,,경상남도 거제시 고현동 628-6,"경상남도 거제시 계룡로 146, 1층 (고현동)",53256,한식,한식
594,자담치킨 상문점,2021-03-02,영업/정상,055 6328890,경상남도 거제시 상동동 219-1,"경상남도 거제시 상동5길 16-1, 2동 203호 (상동동)",53294,호프/통닭,호프/통닭
595,태리로제떡볶이&순살닭강정 거제고현점,2021-03-02,영업/정상,,경상남도 거제시 고현동 196-2,"경상남도 거제시 동문천로 33, 1층 (고현동)",53256,분식,분식
596,배떡 고현점,2021-03-03,영업/정상,,경상남도 거제시 고현동 238-11,"경상남도 거제시 거제중앙로 1830, 1층 (고현동)",53259,분식,분식
597,조아김밥,2021-03-09,영업/정상,,경상남도 거제시 상동동 256-6,"경상남도 거제시 거제중앙로 1677, 1호동 1층 (상동동)",53294,분식,분식
598,별,2021-03-18,영업/정상,,경상남도 거제시 일운면 지세포리 931-5,"경상남도 거제시 일운면 지세포해안로 90-6, 1층",53328,정종/대포집/소주방,정종/대포집/소주방
599,면창고,2021-03-18,영업/정상,055 6419990,경상남도 거제시 장목면 외포리 1338-1,"경상남도 거제시 장목면 옥포대첩로 733, 1층",53202,한식,한식
600,청담,2021-03-19,영업/정상,,경상남도 거제시 장평동 368-19,"경상남도 거제시 장평1로 105, 1층 (장평동)",53265,기타,기타
